Gene,Gene Set Name,Category
LOC_Os11g37890,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os12g04520,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os12g07820,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os12g07830,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os12g08810,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os12g25690,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os12g25700,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os12g29760,Ascorbate And Aldarate Metabolism,KEGG
LOC_Os01g65830,Fatty Acid Biosynthesis,KEGG
LOC_Os01g69080,Fatty Acid Biosynthesis,KEGG
LOC_Os02g10320,Fatty Acid Biosynthesis,KEGG
LOC_Os02g30060,Fatty Acid Biosynthesis,KEGG
LOC_Os02g30200,Fatty Acid Biosynthesis,KEGG
LOC_Os03g18590,Fatty Acid Biosynthesis,KEGG
LOC_Os03g30950,Fatty Acid Biosynthesis,KEGG
LOC_Os03g53690,Fatty Acid Biosynthesis,KEGG
LOC_Os04g30760,Fatty Acid Biosynthesis,KEGG
LOC_Os04g31070,Fatty Acid Biosynthesis,KEGG
LOC_Os04g36800,Fatty Acid Biosynthesis,KEGG
LOC_Os04g55060,Fatty Acid Biosynthesis,KEGG
LOC_Os05g36000,Fatty Acid Biosynthesis,KEGG
LOC_Os06g05130,Fatty Acid Biosynthesis,KEGG
LOC_Os06g08600,Fatty Acid Biosynthesis,KEGG
LOC_Os06g39520,Fatty Acid Biosynthesis,KEGG
LOC_Os07g07440,Fatty Acid Biosynthesis,KEGG
LOC_Os07g37420,Fatty Acid Biosynthesis,KEGG
LOC_Os07g42420,Fatty Acid Biosynthesis,KEGG
LOC_Os08g09950,Fatty Acid Biosynthesis,KEGG
LOC_Os08g10010,Fatty Acid Biosynthesis,KEGG
LOC_Os08g23810,Fatty Acid Biosynthesis,KEGG
LOC_Os09g10600,Fatty Acid Biosynthesis,KEGG
LOC_Os09g32760,Fatty Acid Biosynthesis,KEGG
LOC_Os10g31780,Fatty Acid Biosynthesis,KEGG
LOC_Os11g43820,Fatty Acid Biosynthesis,KEGG
LOC_Os12g13930,Fatty Acid Biosynthesis,KEGG
LOC_Os01g05670,Fatty Acid Elongation,KEGG
LOC_Os01g05694,Fatty Acid Elongation,KEGG
LOC_Os01g05720,Fatty Acid Elongation,KEGG
LOC_Os01g05744,Fatty Acid Elongation,KEGG
LOC_Os02g11070,Fatty Acid Elongation,KEGG
LOC_Os02g49920,Fatty Acid Elongation,KEGG
LOC_Os03g01150,Fatty Acid Elongation,KEGG
LOC_Os03g08360,Fatty Acid Elongation,KEGG
LOC_Os03g12030,Fatty Acid Elongation,KEGG
LOC_Os03g14170,Fatty Acid Elongation,KEGG
LOC_Os04g20280,Fatty Acid Elongation,KEGG
LOC_Os04g40730,Fatty Acid Elongation,KEGG
LOC_Os05g38590,Fatty Acid Elongation,KEGG
LOC_Os05g49290,Fatty Acid Elongation,KEGG
LOC_Os05g49900,Fatty Acid Elongation,KEGG
LOC_Os06g14810,Fatty Acid Elongation,KEGG
LOC_Os06g15170,Fatty Acid Elongation,KEGG
